Price,Address,City,State,ZipCode,Beds,Baths,Sqft,Acres
225000,20 PONDEROSA DR LOT T,NEW WAVERLY,TX,77358,0,0,0,5.0
385000,352 POOL RD,RICHARDS,TX,77873,0,0,0,13.11
359000,509 EVERGREEN DR,HUNTSVILLE,TX,77340,3,2,2108,0.0
439900,16 BRANDENBURG LN,HUNTSVILLE,TX,77340,4,2,2148,0.0
260000,518 FM 1696 RD W,HUNTSVILLE,TX,77320,3,2,1800,0.0
525000,225 JIM HALL LANE,NEW WAVERLY,TX,77358,4,3,2803,0.0
359900,273 BROADMOOR DR,HUNTSVILLE,TX,77340,3,4,2691,0.0
475000,314 AUGUSTA DR,HUNTSVILLE,TX,77340,3,3,2763,0.0
2889224,110 BO BROWN,TRINITY,TX,75862,0,0,0,555.62
589900,31 ECHO LN,HUNTSVILLE,TX,77320,4,3,3320,0.0
149999,11-24-89 SANCTUARY ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
229900,134 CEDAR RDG,HUNTSVILLE,TX,77320,0,0,0,10.41
525000,4 REDBIRD LN,HUNTSVILLE,TX,77320,3,3,2361,0.0
105000,LOT 8 DIPPING VAT ROAD,HUNTSVILLE,TX,77340,0,0,0,1.51
237990,319 PECOS DR,HUNTSVILLE,TX,77340,3,2,1263,0.0
339500,119 WILLOWBEND ST,HUNTSVILLE,TX,77320,4,3,3030,0.0
119900,6-30-6 DIPPING VAT ROAD,HUNTSVILLE,TX,77340,0,0,0,1.5
114900,7 SYCAMORE DR,HUNTSVILLE,TX,77320,4,3,1914,0.0
415000,661 FM 2550 RD,HUNTSVILLE,TX,77320,4,3,2967,0.0
1500000,109 HEATON AVE,HUNTSVILLE,TX,77320,0,0,0,6.93
32000,000 CONNOR LANE,HUNTSVILLE,TX,77320,0,0,0,0.54
53000,66 HILLSBOROUGH DR,HUNTSVILLE,TX,77340,0,0,0,0.24
195000,2 WILDWOOD LAKE DR,HUNTSVILLE,TX,77340,0,0,0,0.37
60000,6 WILD IRIS CT,HUNTSVILLE,TX,77340,0,0,0,0.16
349000,44 PINE LN,NEW WAVERLY,TX,77358,4,4,2649,0.0
775000,121 DEDICATION TRL,HUNTSVILLE,TX,77340,4,4,3424,0.0
105000,79 HARPER BRANCH RD,TRINITY,TX,75862,0,0,0,10.0
280000,215 EMERY OAK WAY,HUNTSVILLE,TX,77320,3,2,1462,0.0
165000,578 FM 2296 RD,HUNTSVILLE,TX,77340,0,0,0,2.4
248990,120 AVALON DR,HUNTSVILLE,TX,77320,4,2,1776,0.0
300000,748 I-45 FRONTAGE ROAD,HUNTSVILLE,TX,77320,0,0,0,5.0
379000,157 WILDWOOD LAKE DR N,HUNTSVILLE,TX,77340,3,3,2185,0.0
459000,203 WESTRIDGE DR,HUNTSVILLE,TX,77340,4,2,2888,0.0
244990,406 DEL MONTE DR,HUNTSVILLE,TX,77320,4,3,1774,0.0
140000,118 HEATON AVE,HUNTSVILLE,TX,77320,3,1,1242,0.0
300000,7190 STATE HIGHWAY 75 S,HUNTSVILLE,TX,77340,0,0,0,3.16
